customer_id,age,city,previous_purchases,total_spend,avg_order_value,days_since_purchase,category,discount_response,treatment,purchased_after
C1001,24,Bangalore,5,42000,8400,12,Electronics,0.72,1,1
C1002,31,Mumbai,3,18500,6167,45,Fashion,0.38,0,0
C1003,28,Delhi,7,56000,8000,8,Electronics,0.81,1,1
C1004,42,Pune,2,12000,6000,67,Home,0.21,1,0
C1005,35,Bangalore,9,78000,8667,15,Electronics,0.76,0,1
C1006,22,Hyderabad,4,21000,5250,32,Fashion,0.64,1,1
C1007,45,Mumbai,6,39000,6500,21,Home,0.29,0,0
C1008,29,Chennai,8,64000,8000,10,Electronics,0.84,1,1
C1009,38,Delhi,3,15500,5167,54,Fashion,0.44,0,0
C1010,26,Bangalore,6,47000,7833,18,Electronics,0.73,1,1
C1011,51,Pune,2,9500,4750,82,Home,0.18,1,0
C1012,33,Mumbai,5,31500,6300,25,Fashion,0.57,0,1
C1013,27,Delhi,10,92000,9200,7,Electronics,0.89,1,1
C1014,40,Chennai,4,22000,5500,48,Home,0.25,0,0
C1015,30,Hyderabad,7,52000,7429,14,Electronics,0.78,1,1
C1016,47,Bangalore,3,18000,6000,61,Fashion,0.31,1,0
C1017,25,Mumbai,9,69000,7667,11,Electronics,0.86,1,1
C1018,36,Pune,5,34000,6800,29,Home,0.52,0,1
C1019,43,Delhi,2,11000,5500,73,Fashion,0.19,1,0
C1020,32,Bangalore,8,61000,7625,16,Electronics,0.74,0,1
C1021,29,Mumbai,4,27000,6750,37,Fashion,0.63,1,1
C1022,55,Pune,1,7000,7000,95,Home,0.12,0,0
C1023,34,Delhi,6,45000,7500,13,Electronics,0.79,1,1
C1024,27,Chennai,5,33000,6600,23,Fashion,0.59,0,1
C1025,39,Hyderabad,3,16000,5333,58,Home,0.24,1,0
C1026,23,Bangalore,8,58000,7250,9,Electronics,0.83,1,1
C1027,44,Mumbai,4,29000,7250,42,Fashion,0.35,0,0
C1028,37,Delhi,7,51000,7286,19,Electronics,0.71,1,1
C1029,31,Pune,2,13000,6500,64,Home,0.27,1,0
C1030,26,Chennai,9,72000,8000,6,Electronics,0.91,0,1
C1031,48,Hyderabad,3,19500,6500,52,Fashion,0.22,1,0
C1032,35,Bangalore,6,41000,6833,27,Home,0.55,0,1
C1033,28,Mumbai,7,54000,7714,12,Electronics,0.82,1,1
C1034,41,Delhi,3,17500,5833,71,Fashion,0.17,0,0
C1035,24,Pune,5,36000,7200,20,Electronics,0.69,1,1
C1036,52,Chennai,2,9000,4500,88,Home,0.14,1,0
C1037,30,Hyderabad,8,67000,8375,10,Electronics,0.87,0,1
C1038,46,Bangalore,4,25000,6250,46,Fashion,0.33,1,0
C1039,33,Mumbai,6,43000,7167,17,Electronics,0.77,1,1
C1040,29,Delhi,5,32000,6400,31,Home,0.48,0,1
C1041,38,Pune,7,49000,7000,22,Fashion,0.61,1,1
C1042,50,Chennai,2,10500,5250,76,Home,0.16,0,0
C1043,25,Bangalore,10,88000,8800,5,Electronics,0.93,1,1
C1044,36,Hyderabad,4,23500,5875,39,Fashion,0.42,0,0
C1045,42,Mumbai,6,44000,7333,18,Home,0.54,1,1
C1046,27,Delhi,8,62000,7750,13,Electronics,0.85,1,1
C1047,49,Pune,3,14500,4833,69,Fashion,0.20,0,0
C1048,34,Chennai,5,37000,7400,24,Home,0.58,1,1
C1049,23,Hyderabad,7,55000,7857,9,Electronics,0.88,0,1
C1050,40,Bangalore,3,19000,6333,57,Fashion,0.26,1,0
